number	korean	english
1450	접시	dish
1451	젓가락	chopsticks
1452	정거장	station, stop
1453	정도	degree
1454	정류장	station, stop
1455	정리	arrangement
1456	정말	really
1457	정문	front door
1458	정신없이	hectically, frantically
1459	정원	garden
1460	정하다	decide
1461	정형외과	orthopedics
1462	정확	exactness
1463	젖다	wet
1464	제	my
1465	제목	title
1466	제일	best
1467	제주도	Jeju Island
1468	조금	little
1469	조금씩	gradually
1470	조심	be careful
1471	조용하다	quiet
1472	조용히	quietly
1473	조카	nephew
1474	졸다	sleep
1475	졸업	graduate
1476	좀	little
1477	좁다	narrow
1478	종류	type
1479	종업원	employee, worker
1480	종이	paper
1481	좋다	good
1482	좋아하다	like
1483	죄송하다	sorry
1484	주	week
1485	주다	give
1486	주로	mainly
1487	주말	weekend
1488	주머니	pocket
1489	주무시다	(honorific) sleep
1490	주문	order
1491	주변	around, surrounding
1492	주부	housewife
1493	주사	injection
1494	주소	address
1495	주스	juice
1496	주위	around
1497	주인	master
1498	주일	week
1499	주차	parking
1500	주차장	parking lot
1501	주황색	orange color
1502	죽다	die
1503	준비	ready
1504	줄	a rope
1505	줄다	shrink
1506	줄이다	reduce
1507	줍다	pick up, gather
1508	중	in the middle of
1509	중간	middle
1510	중국	China
1511	중국집	Chinese restaurant
1512	중심	center
1513	중앙	central
1514	중요	importance
1515	중학교	middle school
1516	중학생	middle schooler
1517	즐거워하다	have fun
1518	즐겁다	fun
1519	즐기다	enjoy
1520	지각	late
1521	지갑	wallet
1522	지금	now
1523	지나가다	pass by
1524	지나다	pass
1525	지난달	last month
1526	지난번	last time
1527	지난주	last week
1528	지난해	last year
1529	지내다	stay
1530	지다	lose
1531	지도	map
1532	지루하다	bored
1533	지르다	yell
1534	지방	region
1535	지우개	eraser
1536	지우다	delete
1537	지키다	protect
1538	지하	basement
1539	지하도	underpass
1540	지하철	subway
1541	지하철역	subway station
1542	직업	job
1543	직원	staff
1544	직장	workplace
1545	직접	directly
1546	진짜	really
1547	진하다	thick, dense
1548	질문	question
1549	짐	luggage, cargo
1550	집	house
1551	집들이	housewarming
1552	집안일	housework
1553	짓다	build
1554	짜다	salty
1555	짜증	annoyance
1556	짝	one of a pair
1557	짧다	short
1558	짬뽕	Champong (food)
1559	쪽	
1560	찌개	stew
1561	찌다	gain
1562	찌다	steam
1563	찍다	set, stamp
1564	차	car
1565	차	tea
1566	차갑다	cold
1567	차다	be full, be filled
1568	차다	kick
1569	차다	wear (watch)
1570	차다	cold
1571	차례	order, turn
1572	착하다	kind
1573	찬물	cold water
1574	참	very
1575	참다	suppress
1576	참외	melon
1577	창문	window
1578	찾다	find
1579	찾아가다	to go to
1580	찾아보다	to look for
1581	찾아오다	come to
1582	채소	vegetable
1583	책	book
1584	책상	desk
1585	책장	bookshelf
1586	처음	first
1587	천	thousand
1588	천만	ten million
1589	천천히	slowly
1590	첫	first
1591	첫날	first day
1592	첫째	first
1593	청년	youth
1594	청바지	blue jeans
1595	청소	cleaning
1596	청소년	teenager
1597	체육관	gym
1598	체크무늬	checkered (clothes)
1599	쳐다보다	look at
1600	초	beginning
1601	초	second
1602	초대	invitation
1603	초대장	invitation card
1604	초등학교	elementary school
1605	초등학생	elementary student
1606	초록색	green
1607	초콜릿	chocolate
1608	최고	best, highest
1609	최근	recent
1610	추다	dance
1611	추석	Chuseok
1612	축구	soccer
1613	축구공	soccer ball
1614	축하	congrats
1615	출구	exit
1616	출근	go work
1617	출발	depart
1618	출석	attendance
1619	출입	access
1620	출입국	immigration
1621	출장	business trip
1622	출퇴근	commute
1623	춤	dance
1624	춤추다	to dance
1625	춥다	cold
1626	충분하다	enough
1627	취미	hobby
1628	취소	cancel
1629	취직	employment
1630	층	floor
1631	치과	dentist
1632	치다	hit
1633	치료	treatment
1634	치마	skirt
1635	치약	toothpaste
1636	치킨	chicken
1637	친구	friend
1638	친절	kindness
1639	친척	relative
1640	친하다	close
1641	칠	seven
1642	칠십	seventy
1643	칠월	July
1644	칠판	blackboard
1645	침대	bed
1646	침실	bedroom
1647	칫솔	toothbrush
1648	칭찬	compliment
1649	카드	card
1650	카레	curry (food)
1651	카메라	camera
1652	카페	cafe
1653	칼	knife
1654	칼국수	kalguksu
1655	캐나다	Canada
1656	커피	coffee
1657	커피숍	coffee shop
1658	컴퓨터	computer
1659	컵	cup
1660	케이크	cake
1661	켜다	turn on
1662	켜다	play a stringed instrument
1663	켤레	pair
1664	코	nose
1665	코끼리	elephant
1666	콘서트	concert
1667	콜라	Cola
1668	콧물	snot, nose run
1669	콩	bean
1670	크기	size
1671	크다	big
1672	크리스마스	Christmas
1673	큰소리	loud
1674	키	height
1675	키우다	raise
1676	킬로그램	kilogram
1677	킬로미터	kilometer
1678	타다	burn
1679	타다	take, ride
1680	타다	make
1681	탁구	ping-pong
1682	탕수육	tangsuyuk (food)
1683	태국	Thailand
1684	태권도	Taekwondo
1685	태극기	Korean flag, taegeukgi
1686	태도	attitude
1687	태어나다	born
1688	태풍	typhoon
1689	택배	parcel, delivery
1690	택시	taxi
1691	터미널	terminal
1692	테니스	tennis
1693	테니스장	tennis court
1694	테이블	table
1695	텔레비전	television
1696	토끼	rabbit
1697	토마토	tomato
1698	토요일	Saturday
1699	통장	bankbook
1700	통화	call
1701	퇴근	leave work
1702	퇴원	discharge, leave hospital
1703	튀기다	fry
1704	튀김	fried
1705	트럭	truck
1706	특별하다	special
1707	특별히	especially
1708	특히	especially
1709	튼튼하다	strong
1710	틀다	turn on
1711	틀리다	wrong
1712	티셔츠	t-shirt
1713	팀	team
1714	파란색	blue color
1715	파랗다	blue
1716	파티	party
1717	팔	arm
1718	팔	eight
1719	팔다	sell
1720	팔리다	sell, be sold
1721	팔십	eighty
1722	팔월	August
1723	펴다	unfold
1724	편리	convenience
1725	편안	peace, comfort
1726	편의점	convenience store
1727	편지	letter
1728	편찮다	unwell, sick
1729	편하다	relaxing
1730	평소	usually
1731	평일	weekday
1732	포도	grape
1733	포장	wrapping
1734	표	ticket
1735	푸르다	green
1736	푹	good, well
1737	풀다	solve
1738	풍경	landscape
1739	프라이팬	frying pan
1740	프랑스	France
1741	프로그램	program
1742	피	blood
1743	피곤	tired
1744	피다	bloom
1745	피아노	piano
1746	피우다	bloom
1747	피자	pizza
1748	필요	need
1749	필통	pencil case
1750	하나	one
1751	하늘	sky
1752	하늘색	sky blue
1753	하다	do
1754	-하다	be-
1755	하루	day
1756	하숙비	lodging fee
1757	하숙집	boarding house
1758	하얀색	white color
1759	하얗다	white
1760	하지만	however
1761	학교	school
1762	학기	semester
1763	학년	grade
1764	학생	student
1765	학생증	student ID
1766	학원	academy
1767	한	one
1768	한가하다	free, spare
1769	한강	Han river
1770	한국	Korea
1771	한글	Hangul
1772	한두	one or two
1773	한번	once
1774	한복	Hanbok
1775	한식	Korean food
1776	한식집	Korean restaurant
1777	한옥	Hanok house
1778	한잔	a drink
1779	한턱	a treat
1780	할머니	grandmother
1781	할아버지	grandfather
1782	할인	discount
1783	함께	together
1784	항공	airline
1785	항공권	airline ticket
1786	항상	always
1787	해	sun
1788	해마다	every year
1789	해외	overseas
1790	해외여행	overseas travel
1791	햄버거	hamburger
1792	햇빛	sunshine
1793	행동	action
1794	행복	happiness
1795	행사	event
1796	허리	waist
1797	헤어지다	broke up
1798	헬스클럽	health club
1799	혀	tongue
1800	현금	cash
1801	현재	currently
1802	형	brother
1803	형제	brother, sibling
1804	호	No. (number, issue)
1805	호랑이	tiger
1806	호수	lake
1807	호텔	hotel
1808	혹시	maybe
1809	혼자	alone
1810	홍차	black tea
1811	화	angry
1812	화가	painter
1813	화나다	angry
1814	화내다	get angry
1815	화려하다	gorgeous
1816	화요일	Tuesday
1817	화장실	restroom
1818	화장품	cosmetics
1819	환영	welcome
1820	환자	patient
1821	환전	currency exchange
1822	활발히	actively
1823	회	episode, edition
1824	회사	company
1825	회사원	office worker
1826	회색	gray
1827	회원	member
1828	회의	meeting
1829	횡단보도	crosswalk
1830	후	after
1831	후배	junior
1832	훌륭하다	excellent
1833	훨씬	more
1834	휴가	vacation
1835	휴게실	rest area
1836	휴대폰	cellphone
1837	휴일	dayoff
1838	휴지	tissue
1839	휴지통	trash can
1840	흐르다	flow
1841	흐리다	cloudy, murky
1842	흔들다	shake
1843	흘리다	cry, shed
1844	희망	hope
1845	흰색	white color
1846	힘	power
1847	힘들다	hard, tough
		
		
