number	korean	example_ko	example_en
599	몽골	몽골에 가 봤어요	have been to Mongolia
600	무	무를 썰어요	cut radish
601	무겁다	가방이 무거워요	bag is heavy
602	무게	무게를 재 주세요	measure the weight please
603	무궁화	무궁화가 예뻐요	mugunghwa is pretty
604	무료	입장이 무료예요	admission is free
605	무릎	무릎이 아파요	knee hurts
606	무섭다	무서운 영화를 봤어요	watched scary movie
607	무슨	무슨 일이에요	what matter is it
608	무엇	무엇을 찾으세요	what are you looking for
609	무척	무척 기뻐요	very happy
610	문	문을 열어 주세요	open the door please
611	문제	문제가 어려워요	problem is difficult
612	문화	한국 문화를 배워요	learn Korean culture
613	묻다	길을 물어요	ask the way
614	물	물을 마셔요	drink water
615	물건	물건을 샀어요	bought things
616	물고기	물고기를 키워요	raise fish
617	물론	물론 좋아요	of course good
618	물어보다	선생님께 물어봐요	ask the teacher
619	뭐	뭐 드실래요	what will you eat
620	미국	미국에서 왔어요	came from USA
621	미끄러지다	길에서 미끄러졌어요	slipped on road
622	미래	미래가 기대돼요	future is anticipated
623	미리	미리 준비해요	prepare in advance
624	미술관	미술관에 가요	go to art gallery
625	미안	정말 미안해요	really sorry
626	미역국	생일에 미역국을 먹어요	eat seaweed soup on birthday
627	미용실	미용실에 가요	go to beauty salon
628	미터	길이가 10미터예요	length is 10 meters
629	믿다	친구를 믿어요	trust friend
630	밀가루	밀가루를 샀어요	bought flour
631	밀다	문을 밀어 주세요	push the door please
632	밑	책상 밑에 있어요	it's under desk
633	바깥	바깥이 추워요	outside is cold
634	바깥쪽	바깥쪽으로 나가요	go to the outside
635	바꾸다	돈을 바꿔요	change money
636	바뀌다	계획이 바뀌었어요	plan was changed
637	바나나	바나나를 좋아해요	like banana
638	바다	바다가 아름다워요	ocean is beautiful
639	바닥	바닥을 닦아요	wipe the floor
640	바닷가	바닷가에 가요	go to beach
641	바라다	성공을 바라요	hope for success
642	바라보다	하늘을 바라봐요	look at sky
643	바람	바람이 불어요	wind blows
644	바로	바로 갈게요	will go right away
645	바르다	크림을 발라요	apply cream
646	바쁘다	오늘 많이 바빠요	very busy today
647	바이올린	바이올린을 연주해요	play violin
648	바지	바지를 샀어요	bought pants
649	박물관	박물관을 구경해요	visit museum
650	박수	박수를 쳐요	clap applause
651	밖	밖에 나가요	go outside
652	반	절반만 주세요	give me half please
653	반	우리 반 학생이에요	our class student
654	반갑다	만나서 반가워요	glad to meet you
655	반대	반대쪽에 있어요	it's on the opposite side
656	반드시	반드시 오세요	certainly come please
657	반바지	여름에 반바지를 입어요	wear shorts in summer
658	반지	예쁜 반지를 샀어요	bought pretty ring
659	반찬	반찬이 많아요	side dishes are many
660	받다	선물을 받았어요	received gift
661	받아쓰다	선생님 말씀을 받아써요	dictate teacher's words
662	발	발이 아파요	foot hurts
663	발가락	발가락을 다쳤어요	hurt my toes
664	발바닥	발바닥이 아파요	sole hurts
665	밝다	방이 밝아요	room is bright
666	밤	밤에 자요	sleep at night
667	밥	밥을 먹어요	eat rice
668	방	방이 깨끗해요	room is clean
669	방금	방금 도착했어요	just arrived
670	방문	방문을 닫아요	close the door
671	방문	친구 집을 방문해요	visit friend's house
672	방법	좋은 방법이 있어요	there is good method
673	방송	방송을 봐요	watch broadcast
674	방송국	방송국에서 일해요	work at broadcast station
675	방학	방학이 시작됐어요	vacation started
676	방향	방향을 알려 주세요	tell me direction please
677	배	배가 고파요	belly is hungry
678	배	배를 타요	ride ship
679	배	배가 달아요	pear is sweet
680	배	두 배로 늘었어요	increased two times
681	배달	음식 배달을 시켰어요	ordered food delivery
682	배드민턴	배드민턴을 쳐요	play badminton
683	배우	유명한 배우를 봤어요	saw famous actor
684	배우다	한국어를 배워요	learn Korean
685	배추	배추를 샀어요	bought cabbage
686	배탈	배탈이 났어요	got stomachache
687	백	일백 원이에요	one hundred won
688	백만	백만 원을 벌었어요	earned million won
689	백화점	백화점에서 쇼핑해요	shop at department store
690	뱀	뱀이 무서워요	snake is scary
691	버릇	나쁜 버릇이 있어요	have bad habit
692	버리다	쓰레기를 버려요	throw away garbage
693	버스	버스를 타요	take bus
694	번	한 번 더 해요	do one more time
695	번째	세 번째 줄이에요	third row
696	번호	전화번호를 알려 주세요	tell me phone number
697	벌	옷 두 벌을 샀어요	bought two sets of clothes
698	벌다	돈을 벌어요	earn money
699	벌써	벌써 끝났어요	already finished
700	벗다	신발을 벗어요	take off shoes
701	베트남	베트남에서 왔어요	came from Vietnam
702	벽	벽이 하얘요	wall is white
703	변하다	날씨가 변했어요	weather changed
704	변호사	변호사를 만났어요	met lawyer
705	별	별이 밝아요	star is bright
706	별로	별로 안 좋아해요	not very like it
707	병	병이 났어요	got sick
708	병	물병을 샀어요	bought water bottle
709	병문안	병문안을 갔어요	visited sick person
710	병원	병원에 가요	go to hospital
711	보내다	편지를 보내요	send letter
712	보다	영화를 봐요	watch movie
713	보다	이게 더 좋아요	this is more better
714	보라색	보라색 옷을 샀어요	bought purple clothes
715	보이다	잘 보여요	is seen well
716	보이다	사진을 보여 주세요	show me photo please
717	보통	보통 일찍 일어나요	usually wake up early
718	복습	매일 복습을 해요	do review every day
719	복잡하다	길이 복잡해요	road is complex
720	볶다	김치를 볶아요	fry kimchi
721	볶음밥	볶음밥을 먹어요	eat fried rice
722	볼펜	볼펜으로 써요	write with ballpoint pen
723	봄	봄이 왔어요	spring came
724	봉투	편지를 봉투에 넣어요	put letter in envelope
725	뵙다	선생님을 뵈었어요	met teacher
726	부끄럽다	얼굴이 부끄러워요	face is embarrassed
727	부드럽다	부드러운 빵을 먹어요	eat soft bread
728	부럽다	정말 부러워요	really envy
729	부르다	이름을 불러요	call the name
730	부르다	배가 불러요	stomach is full
731	부모님	부모님을 사랑해요	love my parents
732	부부	행복한 부부예요	happy couple
733	부분	이 부분이 중요해요	this part is important
734	부산	부산에 살아요	live in Busan
735	부엌	부엌에서 요리해요	cook in kitchen
736	부인	사장님 부인을 만났어요	met president's wife
737	부자	부자가 되고 싶어요	want to become rich
738	부장	김 부장님이에요	it's manager Kim
739	부족	돈이 부족해요	money is lacking
740	부지런하다	부지런한 사람이에요	it's diligent person
741	부치다	편지를 부쳤어요	sent the letter
742	부탁	부탁이 있어요	have request
743	북쪽	북쪽으로 가세요	go to north
744	분	손님 두 분이에요	two guests
745	분	5분만 기다리세요	wait just 5 minutes
746	분명하다	분명한 증거가 있어요	there is clear evidence
747	분식	분식을 먹어요	eat bunsik
748	분위기	분위기가 좋아요	atmosphere is good
749	분홍색	분홍색 꽃을 샀어요	bought pink flowers
750	불	불을 켜 주세요	turn on fire please
751	불고기	불고기를 먹어요	eat bulgogi
752	불다	바람이 불어요	wind blows
753	불쌍하다	불쌍한 사람을 도와요	help pitiful person
754	불안	마음이 불안해요	heart feels anxiety
755	불편	몸이 불편해요	body feels discomfort
756	붉다	하늘이 붉어요	sky is red
757	붙다	벽에 붙었어요	stuck to wall
758	붙이다	포스터를 붙여요	paste the poster
759	블라우스	블라우스를 샀어요	bought blouse
760	비	비가 와요	rain comes
761	비교	두 개를 비교해요	compare the two
762	비누	비누로 손을 씻어요	wash hands with soap
763	비다	방이 비었어요	room is empty
764	비디오	비디오를 봤어요	watched video
765	비밀	비밀을 지켜요	keep the secret
766	비빔밥	비빔밥을 먹어요	eat bibimbap
767	비슷하다	모양이 비슷해요	shapes are similar
768	비싸다	가격이 비싸요	price is expensive
769	비행기	비행기를 타요	take airplane
770	빌딩	높은 빌딩이에요	it's tall building
771	빌리다	책을 빌렸어요	borrowed book
772	빠르다	기차가 빨라요	train is fast
773	빠지다	물에 빠졌어요	fell in water
774	빨간색	빨간색 사과를 샀어요	bought red color apple
775	빨갛다	빨간 장미를 좋아해요	like red rose
776	빨다	옷을 빨아요	wash clothes
777	빨래	빨래를 했어요	did laundry
778	빨리	빨리 오세요	hurry come please
779	빵	빵을 먹어요	eat bread
780	빵집	빵집에서 케이크를 샀어요	bought cake at bakery
781	빼다	10에서 5를 빼요	subtract 5 from 10
782	뽑다	이를 뽑았어요	pulled out tooth
783	사	숫자 사예요	number four
784	사거리	사거리에서 만나요	meet at intersection
785	사계절	한국은 사계절이 있어요	Korea has four seasons
786	사고	교통사고가 났어요	traffic accident happened
787	사과	사과를 먹어요	eat apple
788	사귀다	친구를 사귀어요	make friends
789	사다	책을 사요	buy book
790	사람	좋은 사람이에요	it's good person
791	사랑	사랑이 중요해요	love is important
792	사무실	사무실에서 일해요	work at office
793	사실	사실을 말해요	tell the fact
794	사십	나이가 사십이에요	age is forty
795	사업	사업을 시작했어요	started business
796	사용	컴퓨터 사용법을 배워요	learn computer usage
797	사월	사월에 꽃이 펴요	flowers bloom in April
798	사이	친구 사이가 좋아요	relationship between friends is good
799	사이다	사이다를 마셔요	drink cider
800	사이즈	사이즈가 맞아요	size fits
801	사장	우리 사장님이에요	our president
802	사전	사전을 찾아봐요	look up in dictionary
803	사진	사진을 찍어요	take picture
804	사탕	사탕을 먹어요	eat candy
805	사흘	사흘 동안 여행해요	travel for three days
806	산	산에 올라가요	climb mountain
807	산책	공원에서 산책해요	walk in park
808	살	살이 쪘어요	gained weight
809	살	나이가 스무 살이에요	age is twenty years old
810	살다	한국에 살아요	live in Korea
811	삼	숫자 삼이에요	number three
812	삼거리	삼거리에서 만나요	meet at 3-way intersection
813	삼겹살	삼겹살을 구워요	grill pork belly
814	삼계탕	여름에 삼계탕을 먹어요	eat samgyetang in summer
815	삼십	나이가 삼십이에요	age is thirty
816	삼월	삼월에 봄이 와요	spring comes in March
817	삼촌	삼촌을 만났어요	met uncle
818	상	상을 받았어요	received award
819	상자	선물 상자를 열어요	open gift box
820	상처	상처가 아파요	wound hurts
821	상추	상추를 싸 먹어요	wrap and eat lettuce
822	상품	좋은 상품을 샀어요	bought good product
823	새	새가 날아요	bird flies
824	새	새 신발을 샀어요	bought new shoes
825	새로	새로 시작해요	start newly
826	새롭다	새로운 경험이에요	it's new experience
827	새벽	새벽에 일어났어요	woke up at dawn
828	새해	새해 복 많이 받으세요	happy new year
829	색	무슨 색을 좋아해요	what color do you like
830	색깔	색깔이 예뻐요	color is pretty
831	샌드위치	샌드위치를 먹어요	eat sandwich
832	생각	좋은 생각이 났어요	good thought came
833	생각나다	이름이 생각나요	name comes to mind
834	생기다	문제가 생겼어요	problem was formed
835	생선	생선을 구워요	grill fish
836	생신	할머니 생신이에요	it's grandmother's birthday
837	생일	생일 축하해요	happy birthday
838	생활	한국 생활이 좋아요	Korean life is good
839	샤워	샤워를 했어요	took shower
840	서너	사과 서너 개를 샀어요	bought three or four apples
841	서다	여기 서세요	stand here please
842	서두르다	좀 서둘러 주세요	hurry a bit please
843	서랍	서랍을 열어요	open drawer
844	서로	서로 도와요	help each other
845	서류	서류를 제출해요	submit documents
846	서른	나이가 서른이에요	age is thirty
847	서비스	서비스가 좋아요	service is good
848	서양	서양 음식을 먹어요	eat western food
849	서울	서울에 살아요	live in Seoul
850	서점	서점에서 책을 샀어요	bought book at bookstore
851	서쪽	서쪽으로 가세요	go to west
852	섞다	재료를 섞어요	mix the ingredients
853	선물	선물을 받았어요	received gift
854	선배	대학 선배를 만났어요	met college senior
855	선생님	우리 선생님이에요	our teacher
856	선선하다	날씨가 선선해요	weather is cool
857	선수	축구 선수가 됐어요	became soccer player
858	선택	메뉴를 선택해요	select the menu
859	선풍기	선풍기를 켜요	turn on fan
860	설거지	설거지를 해요	do dish washing
861	설날	설날에 떡국을 먹어요	eat rice cake soup on New Year
862	설렁탕	설렁탕을 먹어요	eat seolleongtang
863	설명	자세히 설명해 주세요	explain in detail please
864	설탕	설탕을 넣어요	put in sugar
865	섬	작은 섬에 가요	go to small island
866	섭섭하다	마음이 섭섭해요	heart feels sorry
867	성	성이 뭐예요	what is family name
868	성격	성격이 좋아요	personality is good
869	성공	시험에 성공했어요	succeeded in exam
870	성적	성적이 좋아요	grade is good
871	성함	성함이 어떻게 되세요	what is your name
872	세	숫자 세예요	number three
873	세	나이가 스무 세예요	age is twenty
874	세계	세계 여행을 가요	go on world travel
875	세다	힘이 세요	strength is strong
876	세배	할머니께 세배했어요	made New Year's bow to grandmother
877	세상	세상이 넓어요	world is wide
878	세수	아침에 세수해요	wash up in morning
879	세우다	계획을 세워요	set up plan
880	세탁	세탁을 맡겼어요	entrusted laundry
881	세탁기	세탁기를 샀어요	bought washing machine
882	세탁소	세탁소에 맡겨요	leave at laundry
883	센터	쇼핑 센터에 가요	go to shopping center
884	센티미터	길이가 50센티미터예요	length is 50 centimeters
885	셋	모두 셋이에요	all together three
886	셋째	셋째 아들이에요	third son
887	소	소를 키워요	raise cow
888	소개	친구를 소개해요	introduce friend
889	소고기	소고기를 먹어요	eat beef
890	소금	소금을 넣어 주세요	put in salt please
891	소리	큰 소리가 났어요	loud sound came
892	소설	소설을 읽어요	read novel
893	소식	좋은 소식이 있어요	have good news
894	소주	소주를 마셔요	drink soju
895	소중하다	소중한 추억이에요	it's precious memory
896	소파	소파에 앉아요	sit on sofa
897	소포	소포를 보냈어요	sent parcel
898	소풍	내일 소풍을 가요	go on picnic tomorrow
899	소화제	소화제를 먹어요	take digestive medicine
900	속	상자 속에 넣어요	put inside box
901	속도	속도가 빨라요	speed is fast
902	속옷	속옷을 샀어요	bought underwear
903	손	손을 씻어요	wash hands
904	손가락	손가락을 다쳤어요	hurt finger
905	손녀	손녀가 예뻐요	granddaughter is pretty
906	손님	손님이 오셨어요	guest came
907	손바닥	손바닥이 커요	palm is big
908	손수건	손수건을 샀어요	bought handkerchief
909	송편	추석에 송편을 먹어요	eat songpyeon on Chuseok
910	쇼핑	주말에 쇼핑을 가요	go shopping on weekend
911	수	수가 많아요	number is many
912	수건	수건을 빌려 주세요	lend me towel please
913	수고	수고 많으셨어요	you worked hard
914	수박	수박이 달아요	watermelon is sweet
915	수술	내일 수술을 받아요	get surgery tomorrow
916	수업	수업이 끝났어요	lesson ended
917	수영	수영을 배워요	learn swimming
918	수영복	수영복을 샀어요	bought swimsuit
919	수영장	수영장에 가요	go to swimming pool
920	수요일	수요일에 만나요	meet on Wednesday
921	수저	수저를 놓아요	put down spoon and chopsticks
922	수첩	수첩에 적어요	write in notebook
923	숙제	숙제를 했어요	did homework
924	순두부찌개	순두부찌개를 먹어요	eat tofu stew
925	순서	순서대로 하세요	do in order please
926	숟가락	숟가락을 주세요	give me spoon please
927	술	술을 마셔요	drink alcohol
928	술집	친구랑 술집에 가요	go to bar with friend
929	숫자	숫자를 세요	count the numbers
930	쉬다	집에서 쉬어요	rest at home
931	쉬다	숨을 쉬어요	breathe
932	쉰	나이가 쉰이에요	age is fifty
933	쉽다	문제가 쉬워요	problem is easy
934	슈퍼마켓	슈퍼마켓에서 장을 봐요	shop at supermarket
935	스무	스무 살이에요	twenty years old
936	스물	나이가 스물이에요	age is twenty
937	스스로	스스로 결정해요	decide by oneself
938	스웨터	스웨터를 입어요	wear sweater
939	스카프	스카프를 매요	wear scarf
940	스케이트	스케이트를 타요	ride skate
941	스키	겨울에 스키를 타요	ski in winter
942	스키장	스키장에 가요	go to ski resort
943	스타	유명한 스타를 봤어요	saw famous star
944	스트레스	스트레스가 많아요	stress is much
945	스파게티	스파게티를 먹어요	eat pasta
946	스포츠	스포츠를 좋아해요	like sports
947	슬퍼하다	친구가 슬퍼해요	friend is in sorrow
948	슬프다	슬픈 영화를 봤어요	watched sad movie
949	슬픔	슬픔을 느껴요	feel sadness
950	습관	좋은 습관을 길러요	develop good habit
951	시	어느 시에 살아요	which city do you live in
952	시	몇 시예요	what hour is it
953	시간	시간이 없어요	don't have time
954	시간표	시간표를 봐요	look at schedule
955	시계	시계를 봤어요	looked at watch
956	시골	시골에 살아요	live in countryside
957	시끄럽다	너무 시끄러워요	too noisy
958	시내	시내에 나가요	go out downtown
959	시다	김치가 셔요	kimchi is sour
960	시민	서울 시민이에요	Seoul citizen
961	시어머니	시어머니를 모셔요	look after mother-in-law
962	시원하다	물이 시원해요	water is cool
963	시월	시월에 단풍을 봐요	see autumn leaves in October
964	시작	수업 시작이에요	class start
965	시장	시장에서 장을 봐요	shop at market
966	시청	시청 앞에서 만나요	meet in front of city hall
967	시키다	음식을 시켰어요	asked someone to order food
968	시험	내일 시험이 있어요	have exam tomorrow
969	식구	우리 식구는 넷이에요	our family members are four
970	식다	국이 식었어요	soup got cold
971	식당	식당에서 밥을 먹어요	eat rice at restaurant
972	식빵	식빵을 샀어요	bought bread
973	식사	식사하셨어요	did you have meal
974	식초	식초를 넣어요	put in vinegar
975	식탁	식탁을 닦아요	wipe the table
976	식품	건강 식품을 먹어요	eat health food
977	신다	구두를 신어요	put on shoes
978	신랑	신랑이 멋있어요	groom is cool
979	신문	신문을 읽어요	read newspaper
980	신발	신발을 벗어요	take off shoes
981	신부	신부가 예뻐요	bride is pretty
982	신분증	신분증을 보여 주세요	show me ID card
983	신선하다	신선한 야채를 샀어요	bought fresh vegetables
984	신청	신청을 했어요	made application
985	신호	신호를 기다려요	wait for signal
986	신호등	신호등 앞에서 서요	stand in front of traffic light
987	신혼여행	제주도로 신혼여행을 가요	go to Jeju for honeymoon
988	싣다	짐을 차에 실어요	load luggage in car
989	실례	실례지만 몇 살이에요	excuse me but how old are you
990	실수	실수를 했어요	made mistake
991	실패	시험에 실패했어요	failed in exam
992	싫다	야채가 싫어요	hate vegetables
993	싫어하다	매운 음식을 싫어해요	dislike spicy food
994	심다	나무를 심어요	plant tree
995	심심하다	주말이 심심해요	weekend is bored
996	심하다	감기가 심해요	cold is severe
997	십	숫자 십이에요	number ten
998	십만	십만 원이에요	hundred thousand won
999	십이월	십이월은 겨울이에요	December is winter
1000	십일월	십일월에 추워요	it's cold in November
1001	싱겁다	국이 싱거워요	soup is bland
1002	싸다	김밥을 싸요	wrap kimbap
1003	싸다	가격이 싸요	price is cheap
1004	싸우다	친구랑 싸웠어요	fought with friend
1005	쌀	쌀을 샀어요	bought rice
1006	쌀쌀하다	날씨가 쌀쌀해요	weather is cold
1007	쌓다	눈을 쌓아요	stack snow
1008	썰다	고기를 썰어요	cut meat
1009	쓰다	편지를 써요	write letter
1010	쓰다	모자를 써요	wear hat
1011	쓰다	컴퓨터를 써요	use computer
1012	쓰다	약이 써요	medicine is bitter
1013	쓰레기	쓰레기를 버려요	throw away garbage
1014	쓰레기통	쓰레기통에 버리세요	throw in trash can
1015	씨	김 씨를 만났어요	met Mr Kim
1016	씹다	음식을 잘 씹어요	chew food well
1017	씻다	손을 씻어요	wash hands
1018	아	아, 그래요	ah, I see
1019	아가씨	저기 아가씨	miss over there
1020	아기	아기가 자요	baby sleeps
1021	아까	아까 전화했어요	called a while ago
1022	아나운서	아나운서가 됐어요	became announcer
1023	아내	아내를 사랑해요	love my wife
1024	아니	아니, 괜찮아요	no, it's okay
1025	아니다	학생이 아니에요	not student
1026	아니요	아니요, 몰라요	no, I don't know
1027	아들	아들이 둘이에요	have two sons
1028	아래	아래층에 살아요	live below floor
1029	아래쪽	아래쪽으로 가세요	go down direction
1030	아르바이트	아르바이트를 해요	do part-time job
1031	아름답다	아름다운 꽃을 봤어요	saw beautiful flower
1032	아마	아마 올 거예요	maybe will come
1033	아무	아무도 없어요	no one is there
1034	아무것	아무것도 안 먹었어요	didn't eat anything
1035	아무리	아무리 해도 안 돼요	no matter how much can't do it
1036	아버님	아버님을 뵈었어요	met father
1037	아버지	아버지가 회사에 가요	father goes to company
1038	아빠	우리 아빠가 좋아요	like my dad
1039	아이	아이들이 놀아요	children play
1040	아이스크림	아이스크림을 먹어요	eat ice cream
1041	아저씨	아저씨를 만났어요	met mister
1042	아주	아주 좋아요	very good
1043	아주머니	아주머니께 물어봐요	ask old lady
1044	아줌마	아줌마를 도와 드려요	help madam
1045	아직	아직 안 왔어요	not yet came
1046	아침	아침을 먹어요	eat breakfast
1047	아파트	아파트에 살아요	live in apartment
1048	아프다	머리가 아파요	head is sick
1049	아홉	사과 아홉 개예요	nine apples
1050	아흔	나이가 아흔이에요	age is ninety
1051	악기	악기를 배워요	learn musical instrument
1052	안	방 안에 있어요	inside room
1053	안	안 가요	not go
1054	안개	안개가 꼈어요	fog formed
1055	안경	안경을 써요	wear glasses
1056	안내	길을 안내해요	guide the way
1057	안내문	안내문을 읽어요	read notice
1058	안녕	안녕, 잘 지내	hi, doing well
1059	안녕히	안녕히 가세요	bye, go well
1060	안다	아이를 안아요	hug child
1061	안되다	술을 안 돼요	alcohol is not allowed
1062	안전	안전이 중요해요	safety is important
1063	안쪽	안쪽으로 들어가요	go to inside
1064	앉다	의자에 앉아요	sit on chair
1065	알다	답을 알아요	know the answer
1066	알리다	소식을 알려요	inform the news
1067	알맞다	크기가 알맞아요	size fits
1068	알아보다	가격을 알아봐요	inquire about price
1069	앞	앞에 서세요	stand in front
1070	앞쪽	앞쪽으로 가세요	go to front
1071	애	애가 귀여워요	child is cute
1072	애인	애인을 만났어요	met lover
1073	앨범	앨범을 샀어요	bought album
1074	야	밤이 깊었어요	night is deep
1075	야구	야구를 좋아해요	like baseball
1076	야채	야채를 먹어요	eat vegetables
1077	약	약 10분 걸려요	takes about 10 minutes
1078	약	약을 먹어요	take medicine
1079	약간	약간 매워요	slightly spicy
1080	약국	약국에서 약을 샀어요	bought medicine at pharmacy
1081	약사	약사에게 물어봐요	ask pharmacist
1082	약속	친구와 약속이 있어요	have promise with friend
1083	약하다	몸이 약해요	body is weak
1084	얇다	옷이 얇아요	clothes are thin
1085	양말	양말을 신어요	wear socks
1086	양복	양복을 입어요	wear suit
1087	양식	양식을 작성해요	fill out form
1088	양식집	양식집에서 먹어요	eat at western food restaurant
1089	양치질	양치질을 해요	do brushing teeth
1090	얘기	재미있는 얘기예요	it's interesting story
1091	어	어, 정말요	oh, really
1092	어깨	어깨가 아파요	shoulder hurts
1093	어느	어느 것을 좋아해요	which one do you like
1094	어둡다	밖이 어두워요	outside is dark
1095	어디	어디에 가세요	where are you going
1096	어떠하다	맛이 어때요	how about the taste
1097	어떤	어떤 색을 좋아해요	which color do you like
1098	어떻다	날씨가 어때요	how is weather
1099	어렵다	문제가 어려워요	problem is difficult
1100	어른	어른을 존경해요	respect adults
1101	어리다	동생이 어려요	younger sibling is young
1102	어린아이	어린아이를 돌봐요	look after child
1103	어린이	어린이가 많아요	children are many
1104	어머니	어머니가 요리해요	mother cooks
1105	어머님	선생님 어머님을 뵈었어요	met teacher's mother
1106	어서	어서 오세요	come quickly please
1107	어울리다	친구들과 어울려요	socialize with friends
1108	어제	어제 만났어요	met yesterday
1109	어젯밤	어젯밤에 잠을 못 잤어요	couldn't sleep last night
1110	억	십억 원이에요	one hundred million ten won
1111	언니	언니가 예뻐요	older sister is pretty
1112	언어	외국어를 배워요	learn foreign language
1113	언제	언제 만날까요	when shall we meet
1114	언제나	언제나 행복해요	always happy
1115	얻다	좋은 기회를 얻었어요	got good opportunity
1116	얼굴	얼굴이 예뻐요	face is pretty
1117	얼다	물이 얼었어요	water froze
1118	얼마	얼마예요	how much is it
1119	얼마나	얼마나 걸려요	how much does it take
1120	얼음	얼음을 넣어요	put in ice
1121	엄마	우리 엄마가 좋아요	like my mom
1122	없다	돈이 없어요	have no money
1123	엉덩이	엉덩이가 아파요	butt hurts
1124	에어컨	에어컨을 켜요	turn on air conditioner
1125	엘리베이터	엘리베이터를 타요	take elevator
1126	여권	여권을 잃어버렸어요	lost passport
1127	여기	여기 앉으세요	sit here please
1128	여기저기	여기저기 다녀요	go here and there
1129	여덟	사과 여덟 개예요	eight apples
1130	여동생	여동생이 공부해요	younger sister studies
1131	여든	나이가 여든이에요	age is eighty
1132	여러	여러 나라를 여행했어요	traveled various countries
1133	여러분	여러분 안녕하세요	hello everyone
1134	여름	여름이 더워요	summer is hot
1135	여보세요	여보세요, 김 씨예요	hello, this is Kim
1136	여섯	사과 여섯 개예요	six apples
1137	여성	여성 화장실은 어디예요	where is female restroom
1138	여자	여자 친구가 있어요	have female friend
1139	여쭙다	선생님께 여쭤 봐요	ask teacher
1140	여학생	여학생이 많아요	female students are many
1141	여행	여행을 좋아해요	like travel
1142	여행사	여행사에 전화했어요	called travel agency
1143	여행지	유명한 여행지예요	it's famous travel destination
1144	역	지하철역에서 만나요	meet at subway station
1145	역사	한국 역사를 배워요	learn Korean history
1146	역시	나도 역시 좋아요	I also like it too
1147	연결	인터넷 연결이 안 돼요	internet connection doesn't work
1148	연극	연극을 봤어요	watched theater
1149	연락	전화로 연락해요	contact by phone
1150	연락처	연락처를 알려 주세요	tell me contact please
1151	연말	연말에 바빠요	busy at year-end
1152	연세	연세가 어떻게 되세요	what is your age
1153	연습	매일 연습해요	practice every day
1154	연예인	유명한 연예인을 봤어요	saw famous celebrity
1155	연필	연필로 써요	write with pencil
1156	연휴	연휴에 여행을 가요	travel on holiday
1157	열	숫자 열이에요	number ten
1158	열	열이 나요	have fever
1159	열다	문을 열어요	open door
1160	열리다	가게가 열렸어요	store opened
1161	열쇠	열쇠를 잃어버렸어요	lost key
1162	열심히	열심히 공부해요	study hard
1163	열차	열차를 타요	take train
1164	열흘	열흘 동안 여행해요	travel for ten days
1165	엽서	엽서를 보냈어요	sent postcard
1166	영	점수가 영점이에요	score is zero
1167	영국	영국에 가 봤어요	have been to UK
1168	영수증	영수증을 주세요	give me receipt please
1169	영어	영어를 배워요	learn English
1170	영하	영하 5도예요	sub-zero 5 degrees
1171	영화	영화를 봐요	watch movie
1172	영화관	영화관에서 영화를 봐요	watch movie at cinema
1173	영화배우	영화배우를 만났어요	met movie actor
1174	옆	옆에 앉아요	sit next to
1175	옆집	옆집 사람을 만났어요	met next door person
1176	예	예를 들어 주세요	give me example please
1177	예매	표를 예매했어요	booked ticket
1178	예쁘다	정말 예뻐요	really pretty
1179	예순	나이가 예순이에요	age is sixty
1180	예술	예술을 좋아해요	like art
1181	예습	내일 수업을 예습해요	prepare for tomorrow's lesson
1182	예약	호텔을 예약했어요	made hotel reservation
1183	옛	옛날이 그리워요	miss old times
1184	옛날	옛날에 살았어요	lived long ago
1185	오	숫자 오예요	number five
1186	오늘	오늘 날씨가 좋아요	today's weather is good
1187	오다	친구가 와요	friend comes
1188	오래	오래 기다렸어요	waited for long
1189	오래간만	오래간만에 만났어요	met long time no see
1190	오래되다	집이 오래됐어요	house got old
1191	오랜만	오랜만이에요	it's long time
1192	오랫동안	오랫동안 살았어요	lived for long time
1193	오렌지	오렌지를 먹어요	eat orange
1194	오르다	물가가 올라요	prices increase
1195	오른손	오른손을 들어요	raise right hand
1196	오른쪽	오른쪽으로 가세요	go to right side
1197	오빠	오빠를 만났어요	met older brother
1198	오십	나이가 오십이에요	age is fifty
1199	오월	오월에 가족의 날이에요	May is family day
1200	오이	오이를 좋아해요	like cucumber
1201	오전	오전에 수업이 있어요	have class in morning
1202	오후	오후에 만나요	meet in afternoon
1203	온도	온도가 높아요	temperature is high
1204	올라가다	계단으로 올라가요	go up stairs
1205	올라오다	산에서 올라와요	come up from mountain
1206	올리다	손을 올려요	raise hand
1207	올림	김철수 올림	sincerely yours Kim Chulsoo
1208	올림픽	올림픽을 봐요	watch Olympic
1209	올해	올해는 바빠요	this year is busy
1210	옳다	생각이 옳아요	thought is right
1211	옷	새 옷을 샀어요	bought new clothes
1212	옷걸이	옷걸이에 걸어요	hang on hanger
1213	옷장	옷장을 열어요	open wardrobe
1214	와	와, 정말 좋아요	wow, really good
1215	와이셔츠	와이셔츠를 입어요	wear dress shirt
1216	완전히	완전히 끝났어요	completely finished
1217	왕	옛날 왕이에요	old king
1218	왜	왜 안 왔어요	why didn't you come
1219	왜냐하면	왜냐하면 바빴어요	because was busy
1220	외국	외국에 살아요	live in foreign country
1221	외국어	외국어를 배워요	learn foreign language
1222	외국인	외국인을 만났어요	met foreigner
1223	외롭다	혼자 있으면 외로워요	lonely when alone
